,0
2015-12-14,1574
2015-12-15,1553
2015-12-16,900
2015-12-17,1583
2015-12-18,1437
2015-12-19,1043
2015-12-20,695
2015-12-21,1012
2015-12-22,1066
2015-12-23,785
2015-12-24,315
2015-12-25,199
2015-12-26,213
2015-12-27,346
2015-12-28,529
2015-12-29,591
2015-12-30,531
2015-12-31,236
2016-01-01,325
2016-01-02,178
2016-01-03,357
2016-01-04,643
2016-01-05,868
2016-01-06,1107
2016-01-07,932
2016-01-08,1070
2016-01-09,680
2016-01-10,498
2016-01-11,990
2016-01-12,1149
2016-01-13,1128
2016-01-14,1341
2016-01-15,989
2016-01-16,591
2016-01-17,506
2016-01-18,989
2016-01-19,968
2016-01-20,1087
2016-01-21,1184
2016-01-22,1047
2016-01-23,432
2016-01-24,516
2016-01-25,1337
2016-01-26,1577
2016-01-27,1746
2016-01-28,1558
2016-01-29,1536
2016-01-30,570
2016-01-31,573
2016-02-01,1450
2016-02-02,1433
2016-02-03,1593
2016-02-04,1097
2016-02-05,1489
2016-02-06,1047
2016-02-07,743
2016-02-08,983
2016-02-09,1052
2016-02-10,1329
2016-02-11,1712
2016-02-12,1628
2016-02-13,639
2016-02-14,721
2016-02-15,1267
2016-02-16,1402
2016-02-17,1512
2016-02-18,1569
2016-02-19,1264
2016-02-20,414
2016-02-21,653
2016-02-22,1499
2016-02-23,1109
2016-02-24,1604
2016-02-25,1575
2016-02-26,1509
2016-02-27,935
2016-02-28,711
2016-02-29,1265
2016-03-01,1346
2016-03-02,1162
2016-03-03,1389
2016-03-04,964
2016-03-05,871
2016-03-06,618
2016-03-07,1247
2016-03-08,1544
2016-03-09,1624
2016-03-10,1712
2016-03-11,1551
2016-03-12,935
2016-03-13,855
2016-03-14,1620
2016-03-15,1585
2016-03-16,1717
2016-03-17,1964
2016-03-18,2071
2016-03-19,1073
2016-03-20,738
2016-03-21,1574
2016-03-22,1725
2016-03-23,1901
2016-03-24,1796
2016-03-25,412
2016-03-26,857
2016-03-27,462
2016-03-28,491
2016-03-29,1990
2016-03-30,1820
2016-03-31,1559
2016-04-01,2031
2016-04-02,1931
2016-04-03,1717
2016-04-04,2380
2016-04-05,1697
2016-04-06,3019
2016-04-07,2975
2016-04-08,2906
2016-04-09,1997
2016-04-10,1990
2016-04-11,2999
2016-04-12,2639
2016-04-13,2457
2016-04-14,3336
2016-04-15,2576
2016-04-16,1483
2016-04-17,1343
2016-04-18,2986
2016-04-19,3188
2016-04-20,3418
2016-04-21,3349
2016-04-22,2836
2016-04-23,1275
2016-04-24,1244
2016-04-25,1529
2016-04-26,2349
2016-04-27,2137
2016-04-28,2520
2016-04-29,2487
2016-04-30,1829
2016-05-01,1802
2016-05-02,3269
2016-05-03,2849
2016-05-04,3276
2016-05-05,2087
2016-05-06,2810
2016-05-07,2585
2016-05-08,2165
2016-05-09,3674
2016-05-10,3773
2016-05-11,3906
2016-05-12,3495
2016-05-13,2558
2016-05-14,1976
2016-05-15,1228
2016-05-16,1423
2016-05-17,3212
2016-05-18,3700
2016-05-19,3549
2016-05-20,3383
2016-05-21,2539
2016-05-22,1965
2016-05-23,2325
2016-05-24,1876
2016-05-25,3224
2016-05-26,2461
2016-05-27,2390
2016-05-28,1781
2016-05-29,1646
2016-05-30,2307
2016-05-31,3389
2016-06-01,2607
2016-06-02,2806
2016-06-03,3094
2016-06-04,2536
2016-06-05,2334
2016-06-06,3550
2016-06-07,4025
2016-06-08,3431
2016-06-09,3895
2016-06-10,3671
2016-06-11,2479
2016-06-12,1597
2016-06-13,2098
2016-06-14,2093
2016-06-15,2838
2016-06-16,3191
2016-06-17,2621
2016-06-18,1798
2016-06-19,1842
2016-06-20,3026
2016-06-21,3047
2016-06-22,3739
2016-06-23,3677
2016-06-24,3136
2016-06-25,1826
2016-06-26,2078
2016-06-27,2737
2016-06-28,3134
2016-06-29,3642
2016-06-30,3263
2016-07-01,3533
2016-07-02,1790
2016-07-03,1938
2016-07-04,3089
2016-07-05,3319
2016-07-06,2668
2016-07-07,2821
2016-07-08,3063
2016-07-09,2089
2016-07-10,2327
2016-07-11,3352
2016-07-12,3552
2016-07-13,3076
2016-07-14,3175
2016-07-15,3013
2016-07-16,2523
2016-07-17,2621
2016-07-18,3407
2016-07-19,3484
2016-07-20,2997
2016-07-21,2278
2016-07-22,2655
2016-07-23,1936
2016-07-24,2306
2016-07-25,3294
2016-07-26,3068
2016-07-27,3598
2016-07-28,3014
2016-07-29,3121
2016-07-30,2592
2016-07-31,2273
2016-08-01,3401
2016-08-02,1764
2016-08-03,2447
2016-08-04,2154
2016-08-05,3406
2016-08-06,2603
2016-08-07,2563
2016-08-08,3415
2016-08-09,3397
2016-08-10,3154
2016-08-11,2493
2016-08-12,1996
2016-08-13,1866
2016-08-14,1797
2016-08-15,2444
2016-08-16,2706
2016-08-17,2791
2016-08-18,2689
2016-08-19,2504
2016-08-20,1262
2016-08-21,1359
2016-08-22,2196
2016-08-23,2577
2016-08-24,2668
2016-08-25,2657
2016-08-26,2428
2016-08-27,1908
2016-08-28,1785
2016-08-29,2177
2016-08-30,2216
2016-08-31,2350
2016-09-01,2368
2016-09-02,2273
2016-09-03,1757
2016-09-04,1146
2016-09-05,1925
2016-09-06,2183
2016-09-07,2253
2016-09-08,2616
2016-09-09,2590
2016-09-10,1914
2016-09-11,1710
2016-09-12,2075
2016-09-13,2362
2016-09-14,2444
2016-09-15,2388
2016-09-16,2187
2016-09-17,1104
2016-09-18,1225
2016-09-19,1874
2016-09-20,1416
2016-09-21,1935
2016-09-22,1955
2016-09-23,2049
2016-09-24,1537
2016-09-25,1326
2016-09-26,1781
2016-09-27,1883
2016-09-28,1949
2016-09-29,1961
2016-09-30,1552
2016-10-01,647
2016-10-02,838
2016-10-03,633
2016-10-04,1587
2016-10-05,1574
2016-10-06,1527
2016-10-07,1246
2016-10-08,936
2016-10-09,951
2016-10-10,1319
2016-10-11,1470
2016-10-12,1343
2016-10-13,1435
2016-10-14,1476
2016-10-15,1154
2016-10-16,1109
2016-10-17,1376
2016-10-18,1469
2016-10-19,1183
2016-10-20,1120
2016-10-21,1277
2016-10-22,719
2016-10-23,794
2016-10-24,687
2016-10-25,1430
2016-10-26,1498
2016-10-27,1554
2016-10-28,1518
2016-10-29,1364
2016-10-30,1237
2016-10-31,1662
2016-11-01,1443
2016-11-02,1375
2016-11-03,1416
2016-11-04,1343
2016-11-05,549
2016-11-06,743
2016-11-07,1014
2016-11-08,1087
2016-11-09,859
2016-11-10,1176
2016-11-11,879
2016-11-12,759
2016-11-13,625
2016-11-14,1187
2016-11-15,740
2016-11-16,971
2016-11-17,1113
2016-11-18,1074
2016-11-19,768
2016-11-20,757
2016-11-21,1250
2016-11-22,1480
2016-11-23,1516
2016-11-24,1483
2016-11-25,1238
2016-11-26,862
2016-11-27,661
2016-11-28,1056
2016-11-29,1054
2016-11-30,1006
2016-12-01,1025
2016-12-02,1003
2016-12-03,626
2016-12-04,489
2016-12-05,843
2016-12-06,942
2016-12-07,945
2016-12-08,833
2016-12-09,880
2016-12-10,650
2016-12-11,522
2016-12-12,1045
2016-12-13,977
2016-12-14,1076
2016-12-15,1226
2016-12-16,1063
2016-12-17,608
2016-12-18,543
2016-12-19,920
2016-12-20,1074
2016-12-21,916
2016-12-22,334
2016-12-23,698
2016-12-24,222
2016-12-25,130
2016-12-26,188
2016-12-27,478
2016-12-28,557
2016-12-29,575
2016-12-30,445
2016-12-31,211
2017-01-01,129
2017-01-02,416
2017-01-03,607
2017-01-04,587
2017-01-05,688
2017-01-06,641
2017-01-07,277
2017-01-08,229
2017-01-09,1001
2017-01-10,529
2017-01-11,905
2017-01-12,1064
2017-01-13,819
2017-01-14,605
2017-01-15,554
2017-01-16,1160
2017-01-17,1118
2017-01-18,1066
2017-01-19,1102
2017-01-20,1087
2017-01-21,689
2017-01-22,466
2017-01-23,833
2017-01-24,945
2017-01-25,889
2017-01-26,951
2017-01-27,884
2017-01-28,580
2017-01-29,410
2017-01-30,618
2017-01-31,1027
2017-02-01,1095
2017-02-02,1066
2017-02-03,871
2017-02-04,562
2017-02-05,618
2017-02-06,1077
2017-02-07,1113
2017-02-08,1166
2017-02-09,1047
2017-02-10,971
2017-02-11,666
2017-02-12,620
2017-02-13,1072
2017-02-14,1177
2017-02-15,1277
2017-02-16,1077
2017-02-17,1112
2017-02-18,768
2017-02-19,608
2017-02-20,931
2017-02-21,1081
2017-02-22,1111
2017-02-23,1105
2017-02-24,1155
2017-02-25,832
2017-02-26,788
2017-02-27,1094
2017-02-28,964
2017-03-01,829
2017-03-02,1197
2017-03-03,1291
2017-03-04,1139
2017-03-05,476
2017-03-06,788
2017-03-07,1193
2017-03-08,715
2017-03-09,1101
2017-03-10,1443
2017-03-11,1014
2017-03-12,1016
2017-03-13,1425
2017-03-14,1536
2017-03-15,1658
2017-03-16,1766
2017-03-17,1571
2017-03-18,735
2017-03-19,744
2017-03-20,1496
2017-03-21,1148
2017-03-22,1591
2017-03-23,1862
2017-03-24,1746
2017-03-25,1348
2017-03-26,1494
2017-03-27,2100
2017-03-28,2300
2017-03-29,2262
2017-03-30,2321
2017-03-31,2198
2017-04-01,1526
2017-04-02,1417
2017-04-03,2106
2017-04-04,2209
2017-04-05,2131
2017-04-06,2020
2017-04-07,2031
2017-04-08,1582
2017-04-09,1753
2017-04-10,2127
2017-04-11,2336
2017-04-12,2374
2017-04-13,2148
2017-04-14,1285
2017-04-15,867
2017-04-16,581
2017-04-17,625
2017-04-18,1770
2017-04-19,1936
2017-04-20,2321
2017-04-21,2198
2017-04-22,1489
2017-04-23,1303
2017-04-24,2578
2017-04-25,2348
2017-04-26,2490
2017-04-27,2407
2017-04-28,2198
2017-04-29,1671
2017-04-30,1535
2017-05-01,651
2017-05-02,842
2017-05-03,1375
2017-05-04,1579
2017-05-05,2367
2017-05-06,2199
2017-05-07,1106
2017-05-08,2246
2017-05-09,2705
2017-05-10,2880
2017-05-11,2861
2017-05-12,2485
2017-05-13,2411
2017-05-14,1716
2017-05-15,2970
2017-05-16,318
